No.,Question,Image,Image_1,Options,Answer,Topic,Level,Paper,Difficulty,Objective,Unique identifier
13,"To help achieve price stability, the government in country F operates a buffer stock scheme, with a minimum price of P1 and a maximum price of P2. The current demand and supply in the market
is shown. What should the government do to ensure the scheme is effective?",9708_m25_qp_12_13.png,,"A buy an amount equal to GH
B buy an amount equal to KJ
C buy an amount equal to LJ
D do nothing as the equilibrium price is below PD 1",C,Topic 3: Government microeconomic intervention,AS,9708_m25_qp_12,Difficult,Evaluation,9708_m25_qp_12_13
14,Why is it more difficult to quantify the wealth of an individual rather than their income?,9708_m25_qp_12_14.png,,"A A skilled artist may keep a painting in stock whose value increases after their death.
B Individuals can choose to spend all available income, leaving wealth unchanged.
C Not every form of individual wealth can be traded for money in a market.
D Wealth is a stock which cannot be broken down into an individual’s different assets.",C,Topic 3: Government microeconomic intervention,AS,9708_m25_qp_12,Medium,Evaluation,9708_m25_qp_12_14
15,The table shows the Gini coefficient for income in three countries. What can be concluded from this data?,9708_m25_qp_12_15.png,,"A All three countries have seen an overall improvement in income equality.
B Costa Rica has the highest level of consumer income of all three countries.
C New Zealand's income inequality worsened between 2018 and 2020.
D Sweden's economy has the highest income equality of all three countries.",D,Topic 4: The macroeconomy,AS,9708_m25_qp_12,Easy,Recall,9708_m25_qp_12_15
16,Governments may have price stability as a macroeconomic objective. What is meant by price stability?,9708_m25_qp_12_16.png,,"A All equilibrium prices are maintained in the long run.
B Demand-pull inflation cancels out any cost-push inflation.
C Only disinflation is present in the economy in the long run.
D Prolonged periods of inflation and deflation are avoided.",D,Topic 4: The macroeconomy,AS,9708_m25_qp_12,Medium,Analysis,9708_m25_qp_12_16
17,"In country S, frictional unemployment has decreased, but in country T, structural unemployment has increased.
What would be possible explanations for these changes?",9708_m25_qp_12_17.png,,"A
B
C
D",B,Topic 4: The macroeconomy,AS,9708_m25_qp_12,Medium,Understanding,9708_m25_qp_12_17
18,"The diagram shows aggregate demand (AD) and long-run aggregate supply (LRAS) with X as the
initial equilibrium. Which combination of policy and new final equilibrium point is correct?",9708_m25_qp_12_18.png,9708_m25_qp_12_18_1.png,"A
B
C
D",B,Topic 4: The macroeconomy,AS,9708_m25_qp_12,Easy,Recall,9708_m25_qp_12_18
19,The money income of a country rises by 10% whereas its population falls by 10% during a year. What is likely to happen to the national income per head?,9708_m25_qp_12_19.png,,"A It will remain unchanged.
B It will rise by exactly 20%.
C It will rise by less than 20%.
D It will rise by more than 20%.",D,Topic 4: The macroeconomy,AS,9708_m25_qp_12,Difficult,Evaluation,9708_m25_qp_12_19
20,"High economic growth is often accompanied by a worsening of the current account of the balance of payments.
Which reason for this trend is not valid?",9708_m25_qp_12_20.png,,"A Economic growth raises domestic consumption, leaving very little to sell to overseas consumers.
B Economic growth raises domestic output, leading to lower prices and more price-competitive goods both at home and abroad.
C Economic growth raises incomes and leads to rising demand for foreign goods.
D Economic growth results in rising requirements of inputs from other countries.",B,Topic 4: The macroeconomy,AS,9708_m25_qp_12,Medium,Understanding,9708_m25_qp_12_20
21,A government cuts income tax. Why might this be seen as an example of a supply-side policy?,9708_m25_qp_12_21.png,,"A Real incomes are increased.
B The costs of businesses are reduced.
C The opportunity cost of unemployment has increased.
D The standard of living has improved.",C,Topic 5: Government macroeconomics intervention,AS,9708_m25_qp_12,Easy,Recall,9708_m25_qp_12_21
22,Which combination of fiscal policymeasures will reduce both the inflation rate and income inequality?,9708_m25_qp_12_22.png,,"A
B
C
D",C,Topic 5: Government macroeconomics intervention,AS,9708_m25_qp_12,Medium,Analysis,9708_m25_qp_12_22
23,A country’s central bank decides to reduce the level of credit regulation. What is this an example of?,9708_m25_qp_12_23.png,,"A contractionary fiscal policy
B contractionary monetary policy
C expansionary fiscal policy
D expansionary monetary policy",D,Topic 5: Government macroeconomics intervention,AS,9708_m25_qp_12,Difficult,Application,9708_m25_qp_12_23
24,A government decides to use supply-side policy to increase long-run aggregate supply (LRAS). What is the most likely reason why this policy tool will not lead to a fall in the price level?,9708_m25_qp_12_24.png,,"A Aggregate demand will also increase.
B Labour productivity levels will increase.
C Workers will save any extra wages they earn.
D Workers will spend any extra wages on imports.",A,Topic 5: Government macroeconomics intervention,AS,9708_m25_qp_12,Medium,Understanding,9708_m25_qp_12_24
25,What defines a progressive tax?,9708_m25_qp_12_25.png,,"A All taxpayers pay the same proportion of income in taxes.
B Low-income earners pay a lower proportion of income in taxes than high-income earners.
C Low-income earners pay less in taxes than high-income earners.
D Low-income earners pay more in taxes than high-income earners.",B,Topic 4: The macroeconomy,AS,9708_m25_qp_12,Easy,Recall,9708_m25_qp_12_25
26,Country X trades with country Y. What are the terms of trade for country X?,9708_m25_qp_12_26.png,,"A average price of country X’s exports divided by the average price of country Y’s exports
B the ratio of an index of country X’s export prices to an index of its import prices
C value of country X’s exports divided by the value of country Y’s exports
D value of country X’s imports divided by the value of country Y’s imports",B,Topic 6: International economic issues,AS,9708_m25_qp_12,Medium,Analysis,9708_m25_qp_12_26
27,When is a country’s exchange rate most likely to fall?,9708_m25_qp_12_27.png,,"A When its current account surplus exceeds that of its trading partners.
B When its inflation rate exceeds that of its trading partners.
C When its interest rate exceeds that of its trading partners.
D When its unemployment rate exceeds that of its trading partners.",B,Topic 6: International economic issues,AS,9708_m25_qp_12,Medium,Understanding,9708_m25_qp_12_27
28,"A country experiences a rising trade deficit and a current account surplus at the same time.
Which combination of events might explain this?",9708_m25_qp_12_28.png,,"A
B
C
D",D,Topic 6: International economic issues,AS,9708_m25_qp_12,Difficult,Analysis,9708_m25_qp_12_28
29,The diagram shows the production possibilities for barley and wheat in countries Q and R. What can be concluded?,9708_m25_qp_12_29.png,,"A Country Q has a comparative advantage in the production of barley.
B Country Q has an absolute advantage in producing both goods.
C Country R has an absolute advantage in the production of barley.
D There is no comparative advantage.",B,Topic 6: International economic issues,AS,9708_m25_qp_12,Medium,Analysis,9708_m25_qp_12_29
30,"The diagram shows the impact of a government introducing an export subsidy for its domestic
producers of oil. What will be the effect of this export subsidy on the operation of the domestic market?",9708_m25_qp_12_30.png,,"A domestic output of oil will increase by 15 million units
B imports of oil will decrease by 25 million units
C the domestic price of oil will decrease by $28
D the domestic price of oil will increase by $8",B,Topic 6: International economic issues,AS,9708_m25_qp_12,Difficult,Evaluation,9708_m25_qp_12_30
1,Which statement about a free vaccination programme is normative?,9708_s25_qp_11_1.png,,"A It will help raise life expectancy.
B It is likely to improve the welfare of society.
C It will result in lower spending on other medical services.
D Tax revenues generated through improved economic activity will exceed the spending on vaccination.",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_s25_qp_11,Easy,Understanding,9708_s25_qp_11_1
2,"The diagram shows the production possibility curves of two countries, X and Y. What can be concluded from the diagram?",9708_s25_qp_11_2.png,,"A Both countries have decreasing opportunity cost in the production of consumer goods.
B Both countries should produce 40 units of capital goods and 20 units of consumer goods.
C Country Y has constant opportunity cost in the production of consumer goods.
D Country Y is producing more consumer goods than country X.",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_s25_qp_11,Medium,Analysis,9708_s25_qp_11_2
3,Which goods are least likely to be allocated by market forces in a mixed economy?,9708_s25_qp_11_3.png,,"A hospitals
B railways
C street lighting
D television programmes",C,Topic 1: Basic economic ideas and resource allocation,AS,9708_s25_qp_11,Easy,Understanding,9708_s25_qp_11_3
4,"In 2020, there was a worldwide pandemic. High-income countries quickly developed a vaccine. Low-income countries built high-tech factories to manufacture large quantities of the vaccine for export.
What explains this international division of labour?",9708_s25_qp_11_4.png,,"A
B
C
D",A,Topic 1: Basic economic ideas and resource allocation,AS,9708_s25_qp_11,Easy,Recall,9708_s25_qp_11_4
5,How can a public good become a private good?,9708_s25_qp_11_5.png,,"A Consumers are dissatisfied with the performance of state-run services.
B New technological developments make the good excludable.
C The government privatises the industry producing the good.
D The price of the good increases so it becomes more profitable.",B,Topic 1: Basic economic ideas and resource allocation,AS,9708_s25_qp_11,Medium,Analysis,9708_s25_qp_11_5
6,What is not a function of the price mechanism?,9708_s25_qp_11_6.png,,"A to act as a signal to firms when allocating resources
B to maximise consumer surplus
C to provide an incentive to firms to produce goods
D to ration scarce resources",B,Topic 2: the price system and the microeconomy,AS,9708_s25_qp_11,Easy,Recall,9708_s25_qp_11_6
7,Cars and petrol (gasoline) are in joint demand. What is the effect of an increase in the price of cars on the demand for petrol?,9708_s25_qp_11_7.png,,"A
B
C
D",C,Topic 2: the price system and the microeconomy,AS,9708_s25_qp_11,Medium,Analysis,9708_s25_qp_11_7
